year,region,10_12_public_science_humanities,10_12_public_technology,10_12_public_artistic,10_12_public_professional_CP,10_12_public_professional_AC,10_12_public_education,10_12_public_vocational,10_12_private_science_humanities,10_12_private_technology,10_12_private_artistic,10_12_private_professional_CP,10_12_private_professional_AC,10_12_private_education,10_12_private_vocational
2014 / 2015,Santo Tirso,1050.0,,,1072.0,,,,343.0,,,672.0,,,
2014 / 2015,São João da Madeira,1003.0,,,733.0,163.0,,,27.0,,,280.0,0.0,,
2014 / 2015,Trofa,504.0,,,185.0,,,25.0,307.0,,,0.0,,,0.0
2014 / 2015,Vale de Cambra,329.0,,,222.0,,,,0.0,,,0.0,,,
2014 / 2015,Valongo,1600.0,,,373.0,,,61.0,82.0,,,172.0,,,0.0
2014 / 2015,Vila do Conde,1231.0,,,431.0,,,17.0,0.0,,,272.0,,,0.0
2014 / 2015,Vila Nova de Gaia,3475.0,,,1187.0,,,19.0,142.0,,,1152.0,,,0.0
2014 / 2015,Alto Tâmega,1346.0,,,550.0,348.0,,,0.0,,,233.0,0.0,,
2014 / 2015,Boticas,,,,,,,,,,,,,,
2014 / 2015,Chaves,750.0,,,258.0,348.0,,,0.0,,,233.0,0.0,,
2014 / 2015,Montalegre,123.0,,,86.0,,,,0.0,,,0.0,,,
2014 / 2015,Ribeira de Pena,114.0,,,57.0,,,,0.0,,,0.0,,,
2014 / 2015,Valpaços,159.0,,,65.0,,,,0.0,,,0.0,,,
2014 / 2015,Vila Pouca de Aguiar,200.0,,,84.0,,,,0.0,,,0.0,,,
2014 / 2015,Tâmega e Sousa,7576.0,,,4198.0,,,109.0,762.0,,,966.0,,,24.0
2014 / 2015,Amarante,617.0,,,372.0,,,,498.0,,,288.0,,,
2014 / 2015,Baião,270.0,,,182.0,,,,0.0,,,0.0,,,
2014 / 2015,Castelo de Paiva,329.0,,,126.0,,,,0.0,,,0.0,,,
2014 / 2015,Celorico de Basto,266.0,,,261.0,,,,0.0,,,0.0,,,
2014 / 2015,Cinfães,279.0,,,209.0,,,,0.0,,,77.0,,,
2014 / 2015,Felgueiras,1102.0,,,627.0,,,23.0,0.0,,,297.0,,,0.0
2014 / 2015,Lousada,975.0,,,422.0,,,51.0,47.0,,,133.0,,,0.0
2014 / 2015,Marco de Canaveses,1051.0,,,724.0,,,15.0,0.0,,,64.0,,,0.0
2014 / 2015,Paços de Ferreira,1146.0,,,413.0,,,20.0,53.0,,,107.0,,,24.0
2014 / 2015,Penafiel,1459.0,,,695.0,,,,0.0,,,0.0,,,
2014 / 2015,Resende,82.0,,,167.0,,,,164.0,,,0.0,,,
2014 / 2015,Douro,3858.0,,,1292.0,604.0,,21.0,174.0,,,927.0,0.0,,20.0
2014 / 2015,Alijó,136.0,,,72.0,,,,0.0,,,0.0,,,
2014 / 2015,Armamar,103.0,,,,,,,0.0,,,,,,
2014 / 2015,Carrazeda de Ansiães,101.0,,,33.0,,,,0.0,,,60.0,,,
2014 / 2015,Freixo de Espada à Cinta,,,,10.0,,,,,,,0.0,,,
2014 / 2015,Lamego,669.0,,,248.0,,,,86.0,,,88.0,,,
2014 / 2015,Mesão Frio,82.0,,,87.0,,,,0.0,,,0.0,,,
2014 / 2015,Moimenta da Beira,303.0,,,95.0,,,,0.0,,,135.0,,,
2014 / 2015,Murça,116.0,,,30.0,,,,0.0,,,111.0,,,
2014 / 2015,Penedono,,,,,,,,,,,,,,
2014 / 2015,Peso da Régua,390.0,,,332.0,,,,0.0,,,0.0,,,
2014 / 2015,Sabrosa,74.0,,,47.0,,,,0.0,,,0.0,,,
2014 / 2015,Santa Marta de Penaguião,,,,,,,,,,,,,,
2014 / 2015,São João da Pesqueira,129.0,,,,,,,0.0,,,,,,
2014 / 2015,Sernancelhe,,,,,,,,,,,,,,
2014 / 2015,Tabuaço,95.0,,,16.0,,,,0.0,,,0.0,,,
2014 / 2015,Tarouca,138.0,,,34.0,,,,0.0,,,0.0,,,
2014 / 2015,Torre de Moncorvo,109.0,,,56.0,,,,0.0,,,0.0,,,
2014 / 2015,Vila Nova de Foz Côa,104.0,,,44.0,,,,0.0,,,0.0,,,
2014 / 2015,Vila Real,1309.0,,,188.0,604.0,,21.0,88.0,,,237.0,0.0,,20.0
2014 / 2015,Terras de Trás-os-Montes,1939.0,,,638.0,417.0,,,95.0,,,207.0,0.0,,
2014 / 2015,Alfândega da Fé,75.0,,,14.0,,,,0.0,,,0.0,,,
2014 / 2015,Bragança,810.0,,,166.0,417.0,,,0.0,,,125.0,0.0,,
2014 / 2015,Macedo de Cavaleiros,242.0,,,101.0,,,,0.0,,,0.0,,,
2014 / 2015,Miranda do Douro,123.0,,,25.0,,,,0.0,,,0.0,,,
2014 / 2015,Mirandela,366.0,,,258.0,,,,95.0,,,82.0,,,
2014 / 2015,Mogadouro,138.0,,,50.0,,,,0.0,,,0.0,,,
2014 / 2015,Vila Flor,96.0,,,,,,,0.0,,,,,,
2014 / 2015,Vimioso,,,,,,,,,,,,,,
2014 / 2015,Vinhais,89.0,,,24.0,,,,0.0,,,0.0,,,
2014 / 2015,Centro,37964.0,,,14955.0,4207.0,76.0,323.0,5673.0,,,12300.0,0.0,0.0,79.0
2014 / 2015,Oeste,5135.0,,,2302.0,66.0,,19.0,1775.0,,,1930.0,0.0,,0.0
2014 / 2015,Alcobaça,753.0,,,412.0,,,,424.0,,,146.0,,,
2014 / 2015,Alenquer,680.0,,,273.0,,,,0.0,,,0.0,,,
2014 / 2015,Arruda dos Vinhos,,,,,,,,,,,,,,
2014 / 2015,Bombarral,156.0,,,85.0,,,,0.0,,,0.0,,,
2014 / 2015,Cadaval,164.0,,,15.0,,,,0.0,,,0.0,,,
2014 / 2015,Caldas da Rainha,941.0,,,584.0,66.0,,19.0,313.0,,,419.0,0.0,,0.0
2014 / 2015,Lourinhã,420.0,,,121.0,,,,0.0,,,0.0,,,
2014 / 2015,Nazaré,,,,,,,,,,,,,,
2014 / 2015,Óbidos,120.0,,,49.0,,,,0.0,,,0.0,,,
2014 / 2015,Peniche,442.0,,,151.0,,,,0.0,,,0.0,,,
2014 / 2015,Sobral de Monte Agraço,126.0,,,22.0,,,,0.0,,,0.0,,,
2014 / 2015,Torres Vedras,1333.0,,,590.0,,,,377.0,,,927.0,,,
2014 / 2015,Região de Aveiro,5840.0,,,2586.0,1149.0,,75.0,890.0,,,2039.0,0.0,,43.0
2014 / 2015,Águeda,764.0,,,456.0,393.0,,22.0,0.0,,,0.0,0.0,,0.0
2014 / 2015,Albergaria-a-Velha,197.0,,,156.0,,,19.0,198.0,,,280.0,,,0.0
2014 / 2015,Anadia,307.0,,,69.0,,,,181.0,,,338.0,,,
2014 / 2015,Aveiro,2196.0,,,525.0,756.0,,,0.0,,,1122.0,0.0,,
2014 / 2015,Estarreja,360.0,,,336.0,,,,0.0,,,0.0,,,
2014 / 2015,Ílhavo,454.0,,,147.0,,,13.0,0.0,,,0.0,,,0.0
2014 / 2015,Murtosa,33.0,,,11.0,,,,0.0,,,0.0,,,
2014 / 2015,Oliveira do Bairro,174.0,,,107.0,,,,265.0,,,105.0,,,
2014 / 2015,Ovar,924.0,,,299.0,,,,0.0,,,80.0,,,
2014 / 2015,Sever do Vouga,239.0,,,90.0,,,,0.0,,,0.0,,,
2014 / 2015,Vagos,192.0,,,390.0,,,21.0,246.0,,,114.0,,,0.0
2014 / 2015,Região de Coimbra,7670.0,,,2874.0,828.0,60.0,27.0,1214.0,,,2051.0,0.0,0.0,18.0
2014 / 2015,Arganil,144.0,,,197.0,259.0,,,0.0,,,0.0,0.0,,
2014 / 2015,Cantanhede,594.0,,,126.0,,,,168.0,,,216.0,,,
2014 / 2015,Coimbra,3243.0,,,1380.0,569.0,60.0,27.0,890.0,,,659.0,0.0,0.0,18.0
2014 / 2015,Condeixa-a-Nova,194.0,,,32.0,,,,0.0,,,0.0,,,
2014 / 2015,Figueira da Foz,1216.0,,,322.0,,,,0.0,,,291.0,,,
2014 / 2015,Góis,,,,,,,,,,,,,,
2014 / 2015,Lousã,279.0,,,114.0,,,,0.0,,,46.0,,,
2014 / 2015,Mealhada,,,,,,,,,,,,,,
2014 / 2015,Mira,157.0,,,70.0,,,,0.0,,,0.0,,,
2014 / 2015,Miranda do Corvo,173.0,,,88.0,,,,0.0,,,0.0,,,
2014 / 2015,Montemor-o-Velho,278.0,,,24.0,,,,0.0,,,167.0,,,
2014 / 2015,Mortágua,169.0,,,54.0,,,,0.0,,,94.0,,,
2014 / 2015,Oliveira do Hospital,425.0,,,104.0,,,,0.0,,,172.0,,,
2014 / 2015,Pampilhosa da Serra,13.0,,,,,,,0.0,,,,,,
2014 / 2015,Penacova,164.0,,,52.0,,,,0.0,,,84.0,,,
2014 / 2015,Penela,,,,,,,,,,,,,,
2014 / 2015,Soure,161.0,,,110.0,,,,156.0,,,0.0,,,
2014 / 2015,Tábua,138.0,,,80.0,,,,0.0,,,35.0,,,
2014 / 2015,Vila Nova de Poiares,99.0,,,101.0,,,,0.0,,,0.0,,,
2014 / 2015,Região de Leiria,4748.0,,,1754.0,564.0,5.0,92.0,772.0,,,1811.0,0.0,0.0,0.0
2014 / 2015,Alvaiázere,62.0,,,19.0,,,,0.0,,,70.0,,,
2014 / 2015,Ansião,254.0,,,79.0,,,,0.0,,,192.0,,,
2014 / 2015,Batalha,215.0,,,119.0,,,,0.0,,,0.0,,,
2014 / 2015,Castanheira de Pêra,,,,,,,,,,,,,,
2014 / 2015,Figueiró dos Vinhos,131.0,,,46.0,,,,0.0,,,0.0,,,
2014 / 2015,Leiria,2337.0,,,717.0,564.0,5.0,24.0,179.0,,,466.0,0.0,0.0,0.0
2014 / 2015,Marinha Grande,866.0,,,305.0,,,49.0,23.0,,,287.0,,,0.0
2014 / 2015,Pedrógão Grande,,,,,,,,,,,,,,
2014 / 2015,Pombal,628.0,,,335.0,,,19.0,376.0,,,436.0,,,0.0
2014 / 2015,Porto de Mós,255.0,,,134.0,,,,194.0,,,162.0,,,
2014 / 2015,Viseu Dão Lafões,5136.0,,,1847.0,476.0,11.0,37.0,0.0,,,1425.0,0.0,0.0,0.0
2014 / 2015,Aguiar da Beira,87.0,,,37.0,,,,0.0,,,0.0,,,
2014 / 2015,Carregal do Sal,134.0,,,56.0,,,,0.0,,,0.0,,,
2014 / 2015,Castro Daire,242.0,,,107.0,,,,0.0,,,38.0,,,
2014 / 2015,Mangualde,305.0,,,164.0,,,37.0,0.0,,,0.0,,,0.0
2014 / 2015,Nelas,183.0,,,107.0,,,,0.0,,,0.0,,,
2014 / 2015,Oliveira de Frades,179.0,,,108.0,,,,0.0,,,0.0,,,
2014 / 2015,Penalva do Castelo,103.0,,,104.0,,,,0.0,,,0.0,,,
2014 / 2015,Santa Comba Dão,199.0,,,120.0,,,,0.0,,,0.0,,,
2014 / 2015,São Pedro do Sul,265.0,,,117.0,,,,0.0,,,204.0,,,
2014 / 2015,Sátão,265.0,,,103.0,,,,0.0,,,0.0,,,
2014 / 2015,Tondela,471.0,,,113.0,,,,0.0,,,373.0,,,
2014 / 2015,Vila Nova de Paiva,90.0,,,30.0,,,,0.0,,,0.0,,,
2014 / 2015,Viseu,2473.0,,,613.0,476.0,11.0,,0.0,,,622.0,0.0,0.0,
2014 / 2015,Vouzela,140.0,,,68.0,,,,0.0,,,188.0,,,
2014 / 2015,Beira Baixa,1428.0,,,495.0,416.0,,49.0,33.0,,,365.0,0.0,,0.0
2014 / 2015,Castelo Branco,1129.0,,,383.0,416.0,,49.0,0.0,,,242.0,0.0,,0.0
2014 / 2015,Idanha-a-Nova,90.0,,,,,,,0.0,,,,,,
2014 / 2015,Oleiros,40.0,,,44.0,,,,0.0,,,0.0,,,
2014 / 2015,Penamacor,49.0,,,42.0,,,,0.0,,,0.0,,,
2014 / 2015,Proença-a-Nova,120.0,,,26.0,,,,33.0,,,0.0,,,
2014 / 2015,Vila Velha de Ródão,,,,,,,,,,,,,,
2014 / 2015,Médio Tejo,4096.0,,,1708.0,465.0,,,876.0,,,1372.0,0.0,,
2014 / 2015,Abrantes,792.0,,,443.0,,,,0.0,,,0.0,,,
2014 / 2015,Alcanena,186.0,,,45.0,,,,0.0,,,0.0,,,
2014 / 2015,Constância,26.0,,,21.0,,,,0.0,,,0.0,,,
2014 / 2015,Entroncamento,421.0,,,177.0,,,,0.0,,,218.0,,,
2014 / 2015,Ferreira do Zêzere,69.0,,,62.0,,,,0.0,,,0.0,,,
2014 / 2015,Mação,94.0,,,76.0,,,,0.0,,,0.0,,,
2014 / 2015,Ourém,433.0,,,193.0,,,,805.0,,,675.0,,,
2014 / 2015,Sardoal,73.0,,,28.0,,,,0.0,,,0.0,,,
2014 / 2015,Sertã,239.0,,,112.0,,,,71.0,,,141.0,,,
2014 / 2015,Tomar,932.0,,,385.0,465.0,,,0.0,,,129.0,0.0,,
2014 / 2015,Torres Novas,719.0,,,127.0,,,,0.0,,,209.0,,,
2014 / 2015,Vila de Rei,39.0,,,,,,,0.0,,,,,,
2014 / 2015,Vila Nova da Barquinha,73.0,,,39.0,,,,0.0,,,0.0,,,
2014 / 2015,Beiras e Serra da Estrela,3911.0,,,1389.0,243.0,,24.0,113.0,,,1307.0,0.0,,18.0
2014 / 2015,Almeida,110.0,,,33.0,,,,0.0,,,0.0,,,
2014 / 2015,Belmonte,53.0,,,13.0,,,,0.0,,,0.0,,,
2014 / 2015,Celorico da Beira,113.0,,,50.0,,,,0.0,,,0.0,,,
2014 / 2015,Covilhã,922.0,,,508.0,,,,54.0,,,72.0,,,
2014 / 2015,Figueira de Castelo Rodrigo,68.0,,,20.0,,,,0.0,,,0.0,,,
2014 / 2015,Fornos de Algodres,56.0,,,55.0,,,,0.0,,,0.0,,,
2014 / 2015,Fundão,357.0,,,240.0,,,,59.0,,,229.0,,,
2014 / 2015,Gouveia,202.0,,,62.0,,,,0.0,,,190.0,,,
2014 / 2015,Guarda,1031.0,,,132.0,195.0,,24.0,0.0,,,421.0,0.0,,0.0
2014 / 2015,Manteigas,74.0,,,,,,,0.0,,,,,,
2014 / 2015,Mêda,64.0,,,,,,,0.0,,,,,,
2014 / 2015,Pinhel,135.0,,,39.0,,,,0.0,,,0.0,,,
2014 / 2015,Sabugal,149.0,,,45.0,,,,0.0,,,0.0,,,
2014 / 2015,Seia,406.0,,,192.0,48.0,,,0.0,,,162.0,0.0,,
2014 / 2015,Trancoso,171.0,,,,,,,0.0,,,,,,
2014 / 2015,Área Metropolitana de Lisboa,49607.0,,1401.0,15807.0,12420.0,269.0,307.0,7145.0,,10.0,10770.0,0.0,12.0,173.0
2014 / 2015,Área Metropolitana de Lisboa,49607.0,,1401.0,15807.0,12420.0,269.0,307.0,7145.0,,10.0,10770.0,0.0,12.0,173.0
2014 / 2015,Alcochete,467.0,,,148.0,,,33.0,0.0,,,0.0,,,0.0
2014 / 2015,Almada,3440.0,,,1389.0,,,,163.0,,,570.0,,,
2014 / 2015,Amadora,1942.0,,,1131.0,2898.0,34.0,,40.0,,,818.0,0.0,0.0,
2014 / 2015,Barreiro,2084.0,,,679.0,,,42.0,0.0,,,162.0,,,0.0
2014 / 2015,Cascais,3273.0,,47.0,1214.0,428.0,17.0,,1772.0,,0.0,370.0,0.0,0.0,
2014 / 2015,Lisboa,10928.0,,1354.0,3157.0,4176.0,82.0,145.0,3322.0,,10.0,6093.0,0.0,12.0,173.0
2014 / 2015,Loures,2306.0,,,843.0,,,,446.0,,,102.0,,,
2014 / 2015,Mafra,1143.0,,,281.0,,,,461.0,,,299.0,,,
2014 / 2015,Moita,579.0,,,320.0,,,20.0,0.0,,,417.0,,,0.0
2014 / 2015,Montijo,817.0,,,171.0,,,,0.0,,,238.0,,,
2014 / 2015,Odivelas,2738.0,,,830.0,142.0,,,186.0,,,0.0,0.0,,
2014 / 2015,Oeiras,3898.0,,,564.0,,,,150.0,,,566.0,,,
2014 / 2015,Palmela,1123.0,,,173.0,,,,218.0,,,0.0,,,
2014 / 2015,Seixal,2441.0,,,1021.0,1422.0,64.0,,102.0,,,159.0,0.0,0.0,
2014 / 2015,Sesimbra,870.0,,,295.0,,,,0.0,,,107.0,,,
2014 / 2015,Setúbal,2414.0,,,801.0,1078.0,10.0,67.0,0.0,,,324.0,0.0,0.0,0.0
2014 / 2015,Sintra,7027.0,,,1690.0,813.0,20.0,,285.0,,,545.0,0.0,0.0,
2014 / 2015,Vila Franca de Xira,2117.0,,,1100.0,1463.0,42.0,,0.0,,,0.0,0.0,0.0,
2014 / 2015,Alentejo,12440.0,,,3708.0,2118.0,8.0,270.0,126.0,,,3571.0,0.0,0.0,23.0
2014 / 2015,Alentejo Litoral,1266.0,,,381.0,149.0,8.0,11.0,126.0,,,537.0,0.0,0.0,23.0
2014 / 2015,Alcácer do Sal,155.0,,,44.0,,,,0.0,,,0.0,,,
2014 / 2015,Grândola,161.0,,,169.0,,,,0.0,,,0.0,,,
2014 / 2015,Odemira,324.0,,,41.0,,,11.0,126.0,,,262.0,,,23.0
2014 / 2015,Santiago do Cacém,441.0,,,53.0,149.0,8.0,,0.0,,,0.0,0.0,0.0,
2014 / 2015,Sines,185.0,,,74.0,,,,0.0,,,275.0,,,
2014 / 2015,Baixo Alentejo,1863.0,,,832.0,384.0,,17.0,0.0,,,760.0,0.0,,0.0
2014 / 2015,Aljustrel,113.0,,,54.0,105.0,,,0.0,,,0.0,0.0,,
2014 / 2015,Almodôvar,97.0,,,64.0,,,,0.0,,,0.0,,,
2014 / 2015,Alvito,,,,,,,,,,,,,,
2014 / 2015,Barrancos,,,,,,,,,,,,,,
2014 / 2015,Beja,846.0,,,311.0,279.0,,,0.0,,,105.0,0.0,,
2014 / 2015,Castro Verde,129.0,,,60.0,,,,0.0,,,0.0,,,
2014 / 2015,Cuba,,,,,,,,,,,,,,
2014 / 2015,Ferreira do Alentejo,49.0,,,13.0,,,17.0,0.0,,,0.0,,,0.0
2014 / 2015,Mértola,98.0,,,9.0,,,,0.0,,,67.0,,,
2014 / 2015,Moura,247.0,,,65.0,,,,0.0,,,134.0,,,
2014 / 2015,Ourique,68.0,,,18.0,,,,0.0,,,0.0,,,
2014 / 2015,Serpa,216.0,,,238.0,,,,0.0,,,0.0,,,
2014 / 2015,Vidigueira,,,,,,,,,,,,,,
2014 / 2015,Lezíria do Tejo,3860.0,,,1168.0,674.0,,,0.0,,,1503.0,0.0,,
2014 / 2015,Almeirim,295.0,,,129.0,,,,0.0,,,0.0,,,
2014 / 2015,Alpiarça,110.0,,,63.0,,,,0.0,,,0.0,,,
2014 / 2015,Azambuja,225.0,,,104.0,,,,0.0,,,0.0,,,
2014 / 2015,Benavente,394.0,,,85.0,,,,0.0,,,0.0,,,
2014 / 2015,Cartaxo,389.0,,,158.0,,,,0.0,,,0.0,,,
2014 / 2015,Chamusca,86.0,,,,,,,0.0,,,,,,
2014 / 2015,Coruche,290.0,,,,,,,0.0,,,,,,
2014 / 2015,Golegã,61.0,,,35.0,,,,0.0,,,0.0,,,
2014 / 2015,Rio Maior,359.0,,,110.0,,,,0.0,,,268.0,,,
2014 / 2015,Salvaterra de Magos,379.0,,,141.0,,,,0.0,,,368.0,,,
2014 / 2015,Santarém,1272.0,,,343.0,674.0,,,0.0,,,678.0,0.0,,
2014 / 2015,Alto Alentejo,1993.0,,,524.0,366.0,,177.0,0.0,,,236.0,0.0,,0.0
2014 / 2015,Alter do Chão,12.0,,,100.0,,,22.0,0.0,,,0.0,,,0.0
2014 / 2015,Arronches,,,,,,,,,,,,,,
2014 / 2015,Avis,,,,,,,,,,,,,,
2014 / 2015,Campo Maior,156.0,,,58.0,,,34.0,0.0,,,0.0,,,0.0
2014 / 2015,Castelo de Vide,,,,,,,,,,,,,,
2014 / 2015,Crato,,,,,,,,,,,,,,
2014 / 2015,Elvas,477.0,,,116.0,,,30.0,0.0,,,0.0,,,0.0
2014 / 2015,Fronteira,,,,,,,10.0,,,,,,,0.0
2014 / 2015,Gavião,,,,,,,15.0,,,,,,,0.0
2014 / 2015,Marvão,,,,,,,,,,,,,,
2014 / 2015,Monforte,,,,,,,,,,,,,,
2014 / 2015,Nisa,119.0,,,,,,,0.0,,,,,,
2014 / 2015,Ponte de Sor,332.0,,,102.0,53.0,,34.0,0.0,,,0.0,0.0,,0.0
2014 / 2015,Portalegre,897.0,,,148.0,313.0,,,0.0,,,0.0,0.0,,
2014 / 2015,Sousel,,,,,,,32.0,,,,,,,0.0
2014 / 2015,Alentejo Central,3458.0,,,803.0,545.0,,65.0,0.0,,,535.0,0.0,,0.0
2014 / 2015,Alandroal,,,,,,,,,,,,,,
2014 / 2015,Arraiolos,131.0,,,13.0,,,,0.0,,,0.0,,,
2014 / 2015,Borba,,,,,,,,,,,,,,
2014 / 2015,Estremoz,424.0,,,64.0,,,,0.0,,,20.0,,,
2014 / 2015,Évora,1426.0,,,352.0,545.0,,32.0,0.0,,,515.0,0.0,,0.0
2014 / 2015,Montemor-o-Novo,248.0,,,95.0,,,,0.0,,,0.0,,,
2014 / 2015,Mora,49.0,,,,,,,0.0,,,,,,
2014 / 2015,Mourão,,,,,,,10.0,,,,,,,0.0
2014 / 2015,Portel,,,,16.0,,,,,,,0.0,,,
2014 / 2015,Redondo,94.0,,,55.0,,,,0.0,,,0.0,,,
2014 / 2015,Reguengos de Monsaraz,288.0,,,78.0,,,23.0,0.0,,,0.0,,,0.0
2014 / 2015,Vendas Novas,293.0,,,62.0,,,,0.0,,,0.0,,,
2014 / 2015,Viana do Alentejo,129.0,,,8.0,,,,0.0,,,0.0,,,
2014 / 2015,Vila Viçosa,376.0,,,60.0,,,,0.0,,,0.0,,,
2014 / 2015,Algarve,8014.0,,37.0,4025.0,1112.0,10.0,179.0,176.0,,0.0,513.0,0.0,0.0,27.0
2014 / 2015,Algarve,8014.0,,37.0,4025.0,1112.0,10.0,179.0,176.0,,0.0,513.0,0.0,0.0,27.0
2014 / 2015,Albufeira,870.0,,,414.0,,,,0.0,,,146.0,,,
2014 / 2015,Alcoutim,,,,,,,,,,,,,,
2014 / 2015,Aljezur,,,,,,,,,,,,,,
2014 / 2015,Castro Marim,,,,,,,,,,,,,,
2014 / 2015,Faro,1545.0,,37.0,700.0,543.0,10.0,,0.0,,0.0,119.0,0.0,0.0,
2014 / 2015,Lagoa,167.0,,,192.0,,,,66.0,,,0.0,,,
2014 / 2015,Lagos,715.0,,,445.0,,,,24.0,,,0.0,,,
2014 / 2015,Loulé,1161.0,,,527.0,,,112.0,69.0,,,116.0,,,27.0
2014 / 2015,Monchique,,,,,,,,,,,,,,
2014 / 2015,Olhão,653.0,,,347.0,,,,0.0,,,0.0,,,
2014 / 2015,Portimão,1343.0,,,762.0,569.0,,51.0,0.0,,,132.0,0.0,,0.0
2014 / 2015,São Brás de Alportel,181.0,,,78.0,,,,0.0,,,0.0,,,
2014 / 2015,Silves,396.0,,,201.0,,,16.0,17.0,,,0.0,,,0.0
2014 / 2015,Tavira,541.0,,,151.0,,,,0.0,,,0.0,,,
2014 / 2015,Vila do Bispo,,,,,,,,,,,,,,
2014 / 2015,Vila Real de Santo António,442.0,,,208.0,,,,0.0,,,0.0,,,
2014 / 2015,Região Autónoma dos Açores,5403.0,,,1626.0,483.0,,,53.0,,,1921.0,16.0,,
2014 / 2015,Região Autónoma dos Açores,5403.0,,,1626.0,483.0,,,53.0,,,1921.0,16.0,,
2014 / 2015,Região Autónoma dos Açores,5403.0,,,1626.0,483.0,,,53.0,,,1921.0,16.0,,
2014 / 2015,Angra do Heroísmo,734.0,,,77.0,215.0,,,0.0,,,175.0,0.0,,
2014 / 2015,Calheta,81.0,,,4.0,,,,0.0,,,0.0,,,
2014 / 2015,Corvo,5.0,,,,,,,0.0,,,,,,
2014 / 2015,Horta,397.0,,,,67.0,,,0.0,,,,0.0,,
2014 / 2015,Lagoa,229.0,,,220.0,,,,0.0,,,0.0,,,
2014 / 2015,Lajes das Flores,,,,,,,,,,,,,,
2014 / 2015,Lajes do Pico,100.0,,,16.0,30.0,,,0.0,,,0.0,0.0,,
2014 / 2015,Madalena,126.0,,,,,,,0.0,,,,,,
2014 / 2015,Nordeste,109.0,,,26.0,,,,0.0,,,60.0,,,
2014 / 2015,Ponta Delgada,1904.0,,,676.0,89.0,,,53.0,,,851.0,0.0,,
2014 / 2015,Povoação,200.0,,,21.0,7.0,,,0.0,,,70.0,0.0,,
2014 / 2015,Ribeira Grande,395.0,,,284.0,32.0,,,0.0,,,114.0,0.0,,
2014 / 2015,Santa Cruz da Graciosa,92.0,,,3.0,9.0,,,0.0,,,0.0,0.0,,
2014 / 2015,Santa Cruz das Flores,73.0,,,,,,,0.0,,,,,,
2014 / 2015,São Roque do Pico,53.0,,,12.0,,,,0.0,,,0.0,,,
2014 / 2015,Velas,100.0,,,59.0,,,,0.0,,,116.0,,,
2014 / 2015,Vila da Praia da Vitória,424.0,,,83.0,14.0,,,0.0,,,187.0,0.0,,
2014 / 2015,Vila do Porto,134.0,,,47.0,20.0,,,0.0,,,0.0,0.0,,
2014 / 2015,Vila Franca do Campo,247.0,,,98.0,,,,0.0,,,108.0,,,
2014 / 2015,Região Autónoma da Madeira,5266.0,21.0,,1744.0,77.0,407.0,,419.0,0.0,,1592.0,34.0,43.0,
2014 / 2015,Região Autónoma da Madeira,5266.0,21.0,,1744.0,77.0,407.0,,419.0,0.0,,1592.0,34.0,43.0,
2014 / 2015,Região Autónoma da Madeira,5266.0,21.0,,1744.0,77.0,407.0,,419.0,0.0,,1592.0,34.0,43.0,
2014 / 2015,Calheta,149.0,,,68.0,,5.0,,0.0,,,0.0,,0.0,
2014 / 2015,Câmara de Lobos,164.0,,,123.0,,65.0,,0.0,,,0.0,,0.0,
2014 / 2015,Funchal,3731.0,13.0,,1128.0,77.0,281.0,,419.0,0.0,,1592.0,34.0,43.0,
2014 / 2015,Machico,354.0,3.0,,109.0,,,,0.0,0.0,,0.0,,,
2014 / 2015,Ponta do Sol,136.0,,,,,15.0,,0.0,,,,,0.0,
2014 / 2015,Porto Moniz,52.0,,,,,,,0.0,,,,,,
2014 / 2015,Porto Santo,98.0,4.0,,31.0,,15.0,,0.0,0.0,,0.0,,0.0,
2014 / 2015,Ribeira Brava,187.0,1.0,,130.0,,19.0,,0.0,0.0,,0.0,,0.0,
2014 / 2015,Santa Cruz,122.0,,,56.0,,,,0.0,,,0.0,,,
2014 / 2015,Santana,176.0,,,55.0,,7.0,,0.0,,,0.0,,0.0,
2014 / 2015,São Vicente,97.0,,,44.0,,,,0.0,,,0.0,,,
2013 / 2014,Portugal,177419.0,816.0,2411.0,69730.0,35309.0,1854.0,326.0,23441.0,3642.0,118.0,47969.0,91.0,66.0,53.0
2013 / 2014,Continente,166871.0,179.0,2411.0,67168.0,34729.0,1468.0,326.0,22961.0,3635.0,118.0,44422.0,0.0,29.0,53.0
2013 / 2014,Norte,60409.0,39.0,978.0,26458.0,14833.0,112.0,59.0,10505.0,3311.0,108.0,17128.0,0.0,15.0,0.0
2013 / 2014,Alto Minho,3962.0,,,2086.0,1219.0,9.0,,272.0,,,1579.0,0.0,0.0,
2013 / 2014,Arcos de Valdevez,280.0,,,257.0,,,,0.0,,,168.0,,,
2013 / 2014,Caminha,163.0,,,30.0,,,,167.0,,,272.0,,,
2013 / 2014,Melgaço,122.0,,,,,,,0.0,,,,,,
2013 / 2014,Monção,337.0,,,64.0,,,,0.0,,,206.0,,,
2013 / 2014,Paredes de Coura,83.0,,,,,,,0.0,,,,,,
2013 / 2014,Ponte da Barca,196.0,,,84.0,,,,0.0,,,132.0,,,
2013 / 2014,Ponte de Lima,705.0,,,649.0,,,,0.0,,,144.0,,,
2013 / 2014,Valença,158.0,,,67.0,,,,0.0,,,92.0,,,
2013 / 2014,Viana do Castelo,1808.0,,,910.0,1219.0,9.0,,49.0,,,308.0,0.0,0.0,
